Ã¯Â»Â¿Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point,longitude,latitude
"8,028,304",0,80283040,150 Elsie St.,2008-04-01T00:00:00,80920257,2008-04-01T18:06:37,2008-04-01T18:15:19,2008-04-01T18:21:48,SF,94110,B06,11,,1,4,0,0,0,0,E11,,,0,0,0,0,1,412 - Gas leak (natural gas or LPG),None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Bernal Heights,POINT (-122.41837339 37.74208979),-122.4183734,37.74208979
"8,028,303",0,80283030,85 Turner Tr.,2008-04-01T00:00:00,80920256,2008-04-01T18:00:52,2008-04-01T18:06:30,2008-04-01T18:22:18,SF,94107,B10,37,,1,4,0,0,0,0,E37,,,0,0,0,0,1,552 - Police matter,None,76 - Provide water,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.39489 37.756291),-122.39489,37.756291
"8,028,309",0,80283090,175 6th St.,2008-04-01T00:00:00,80920262,2008-04-01T18:42:06,2008-04-01T18:45:23,2008-04-01T18:53:25,SF,94105,B03,1,,10,35,0,0,0,0,E01,,,0,0,0,0,1,"210 - Steam Rupture, steam, other",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,South of Market,POINT (-122.407468 37.78008),-122.407468,37.78008
"8,028,314",0,80283140,633 Hayes St.,2008-04-01T00:00:00,80920268,2008-04-01T19:03:52,2008-04-01T19:08:39,2008-04-01T19:35:36,SF,94102,B02,36,,1,4,0,0,0,0,E36,,,0,0,0,0,1,522 - Water or steam leak,None,64 - Shut down system,-,-,-,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Hayes Valley,POINT (-122.42684908 37.77612642),-122.4268491,37.77612642
"8,028,319",0,80283190,27th Av. / Cabrillo St.,2008-04-01T00:00:00,80920273,2008-04-01T19:16:12,2008-04-01T19:23:48,2008-04-01T19:28:49,SF,94121,B07,14,,1,4,0,0,0,0,E14,,,0,0,0,0,1,"520 - Water problem, other",None,"00 - Action taken, other",-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Outer Richmond,POINT (-122.4863941 37.77428492),-122.4863941,37.77428492
"8,028,337",0,80283370,165 Belgrave Av.,2008-04-01T00:00:00,80920294,2008-04-01T20:25:00,2008-04-01T20:31:41,2008-04-01T20:51:22,SF,94117,B05,12,,3,10,0,0,0,0,E12,,,0,0,0,0,1,733 - Smoke detector activation/malfunction,None,86 - Investigate,-,-,-,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Inner Sunset,POINT (-122.4481912 37.7597267),-122.4481912,37.7597267
"8,028,329",0,80283290,Grant Av. / Post St.,2008-04-01T00:00:00,80920285,2008-04-01T20:09:55,2008-04-01T20:12:29,2008-04-01T20:13:09,SF,94109,B01,1,,2,9,0,0,0,0,E01,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.405223 37.788694),-122.405223,37.788694
"8,028,350",0,80283500,Cortland Av. / Andover St.,2008-04-01T00:00:00,80920309,2008-04-01T21:16:25,2008-04-01T21:18:32,2008-04-01T21:19:43,SF,94110,B06,32,,2,9,0,0,0,0,E32,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Bernal Heights,POINT (-122.416457 37.739056),-122.416457,37.739056
"8,028,355",0,80283550,2nd St. / Brannan St.,2008-04-01T00:00:00,80920315,2008-04-01T21:55:38,2008-04-01T22:00:33,2008-04-01T22:07:20,SF,94107,B03,8,,1,4,0,0,0,0,T08,,,0,0,0,0,1,522 - Water or steam leak,None,86 - Investigate,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial District/South Beach,POINT (-122.392082 37.781846),-122.392082,37.781846
"8,028,352",0,80283520,300 Ortega St.,2008-04-01T00:00:00,80920311,2008-04-01T21:17:59,2008-04-01T21:24:23,2008-04-01T21:31:37,SF,94122,B08,22,,3,10,0,0,0,0,E22,,1,0,0,0,0,1,"113 - Cooking fire, confined to container",None,86 - Investigate,-,-,1 - Detector alerted occupants,"400 - Residential, other","24 - Cooking area, kitchen",2 - Unintentional,12 - Heat source too close to combustibles,-,81 - Heat; direct flame or convection,"76 - Cooking materials, inc. Edible materi",3 - Unattended or unsupervised person,,,,,,,,,,,,,,,,,,,,,Inner Sunset,POINT (-122.46678342 37.75300898),-122.4667834,37.75300898
